id,title
c3f9db73c29bc33607778f9935c3c4dc,Store design
64430ad2835be8ad60c59e7d44e4b0b1,Customer support
5eb4e29e50e3f178acc614236ed107f4,Sales and conversion optimization
c769c2bd15500dd906102d9be97fdceb,Marketing
30ea2315e910c5e5335de42d5e87dca5,Orders and shipping
9fe78acd078fc030de72c896adc93a2d,Inventory management
737ad50051083aa051d127a53b3ac0da,Productivity
bd125b49ce6b0425d29e33cb8b49a496,Finding and adding products
30a930262efca129caafcd586bc7e6fe,Places to sell
26a72de0d02e0e4e5f615332d61a878e,Finances
c576a841fd4f333a6f074d68e76a1d37,Reporting
e44cd5379a3166568741a07cc81ef6e5,Trust and security
